event_id,event_time,user_id,dept,role,device_type,source_ip,asset_id,asset_type,data_classification,action,status,bytes_out,records_accessed,latency_ms,risk_score,label
EVT0000001,2026-05-01T08:00:09,U0019,Sales,engineer,server,10.10.16.72,cust_db,database,restricted,login,success,2899,8,67,32,normal
EVT0000002,2026-05-01T08:00:28,U0104,Legal,intern,workstation,10.10.2.40,git_repo,code,internal,read,success,17591,13,145,4,normal
EVT0000003,2026-05-01T08:00:15,U0024,HR,intern,workstation,10.10.15.234,data_lake,storage,restricted,schema_discovery,success,71257,55,114,0,normal
EVT0000004,2026-05-01T08:00:40,U0121,HR,admin,laptop,10.10.13.179,ticketing,saas,internal,permission_change,success,133492,125,118,30,normal
EVT0000005,2026-05-01T08:01:30,U0086,Engineering,director,server,10.10.16.116,bi_dashboard,dashboard,internal,query,success,43030,24,187,8,normal
EVT0000006,2026-05-01T08:00:36,U0117,HR,admin,laptop,10.10.17.154,payroll,database,confidential,read,success,144214,99,177,8,normal
EVT0000007,2026-05-01T08:02:13,U0106,Finance,engineer,laptop,10.10.6.79,cust_db,database,restricted,login,success,37849,73,79,4,normal
EVT0000008,2026-05-01T08:02:56,U0034,Operations,intern,mobile,10.10.8.75,git_repo,code,internal,read,success,67953,43,121,2,normal
EVT0000009,2026-05-01T08:02:06,U0142,Operations,admin,laptop,10.10.20.181,cust_db,database,restricted,query,success,95188,66,214,27,normal
EVT0000010,2026-05-01T08:03:20,U0075,Operations,engineer,server,10.10.16.20,git_repo,code,internal,read,success,117086,238,115,8,normal
EVT0000011,2026-05-01T08:01:39,U0018,Operations,analyst,laptop,10.10.16.28,git_repo,code,internal,download,success,32889,48,194,4,normal
EVT0000012,2026-05-01T08:04:36,U0149,Legal,director,vpn_gateway,10.10.11.49,ticketing,saas,internal,upload,success,35339,40,108,7,normal
EVT0000013,2026-05-01T08:03:15,U0049,Data Science,analyst,server,10.10.18.86,data_lake,storage,restricted,query,success,111777,72,79,31,normal
EVT0000014,2026-05-01T08:03:58,U0039,Sales,manager,server,10.10.14.127,ticketing,saas,internal,schema_discovery,success,13222,43,119,8,normal
EVT0000015,2026-05-01T08:04:45,U0004,HR,manager,workstation,10.10.8.46,crm,saas,confidential,read,success,99369,125,116,31,normal
EVT0000016,2026-05-01T08:06:40,U0021,Sales,admin,server,10.10.18.197,bi_dashboard,dashboard,internal,upload,success,48191,25,149,8,normal
EVT0000017,2026-05-01T08:01:42,U0018,Operations,analyst,laptop,10.10.18.245,data_lake,storage,restricted,query,success,162857,98,118,26,normal
EVT0000018,2026-05-01T08:05:42,U0043,Finance,admin,server,10.10.1.128,git_repo,code,internal,delete,success,72344,181,135,28,normal
EVT0000019,2026-05-01T08:06:39,U0106,Finance,engineer,server,10.10.9.227,crm,saas,confidential,login,success,42068,21,88,2,normal
EVT0000020,2026-05-01T08:04:00,U0119,HR,engineer,vpn_gateway,10.10.6.2,git_repo,code,internal,read,success,170199,402,125,1,normal
EVT0000021,2026-05-01T08:06:39,U0089,Operations,manager,server,10.10.1.148,git_repo,code,internal,query,success,59765,32,68,7,normal
EVT0000022,2026-05-01T08:02:56,U0061,HR,analyst,server,10.10.15.234,public_web,web,public,query,success,57967,87,194,0,normal
EVT0000023,2026-05-01T08:08:49,U0013,Operations,analyst,mobile,10.10.18.245,ticketing,saas,internal,upload,success,85822,61,84,3,normal
EVT0000024,2026-05-01T08:09:36,U0065,Engineering,manager,vpn_gateway,10.10.7.162,crm,saas,confidential,query,success,53942,63,85,2,normal
EVT0000025,2026-05-01T08:02:55,U0076,Operations,analyst,workstation,10.10.10.58,bi_dashboard,dashboard,internal,download,success,106735,89,203,8,normal
EVT0000026,2026-05-01T08:05:38,U0043,Finance,admin,laptop,10.10.16.20,git_repo,code,internal,permission_change,success,120943,114,111,26,normal
EVT0000027,2026-05-01T08:04:03,U0058,HR,analyst,vpn_gateway,10.10.20.59,public_web,web,public,schema_discovery,success,21199,60,186,7,normal
EVT0000028,2026-05-01T08:07:28,U0068,Finance,analyst,vpn_gateway,10.10.1.183,public_web,web,public,download,success,108358,140,142,3,normal
EVT0000029,2026-05-01T08:12:05,U0017,Engineering,admin,laptop,10.10.7.191,ticketing,saas,internal,delete,success,65264,90,99,32,normal
EVT0000030,2026-05-01T08:04:00,U0025,Operations,analyst,vpn_gateway,10.10.18.196,data_lake,storage,restricted,upload,success,43163,45,151,27,normal
EVT0000031,2026-05-01T08:09:18,U0026,Data Science,director,mobile,10.10.4.192,ticketing,saas,internal,query,success,127095,68,129,5,normal
EVT0000032,2026-05-01T08:04:16,U0095,Legal,analyst,server,10.10.4.192,bi_dashboard,dashboard,internal,login,success,89424,311,143,3,normal
EVT0000033,2026-05-01T08:13:45,U0006,Engineering,analyst,vpn_gateway,10.10.15.71,cust_db,database,restricted,download,success,167713,320,113,28,normal
